Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
3.0964,0.0,3.5722,3.7806,3.9704,4.1425,4.2979,4.4373,4.5617,4.6719
3.291,0.0,3.8062,4.0282,4.2282,4.4072,4.5664,4.707,4.8301,4.9368
3.4721,0.0,4.0948,4.3559,4.586,4.787,4.9607,5.1091,5.234,5.3373
3.8083,0.0,4.3292,4.5458,4.7354,4.8998,5.0407,5.1597,5.2585,5.3388
3.7734,0.0,4.2944,4.5123,4.704,4.8711,5.0153,5.1382,5.2415,5.3266
4.1392,0.0,4.6374,4.8464,5.0306,5.1915,5.3307,5.4495,5.5495,5.6322
4.0282,0.0,4.5324,4.7444,4.9318,5.0958,5.238,5.3599,5.4628,5.5483
4.1424,0.0,4.5967,4.7887,4.9589,5.1086,5.239,5.3515,5.4472,5.5274
3.777,0.0,4.2625,4.4683,4.6512,4.8124,4.9534,5.0753,5.1795,5.2673
3.3994,0.0,3.9021,4.1173,4.3101,4.4817,4.6332,4.7659,4.8811,4.9798
3.2791,0.0,3.742,3.9421,4.1227,4.2847,4.4292,4.5571,4.6695,4.7674
2.9678,0.0,3.4865,3.7122,3.9167,4.1013,4.2669,4.4146,4.5455,4.6606
2.9657,0.0,3.5129,3.7508,3.9665,4.1609,4.3354,4.4909,4.6286,4.7496
2.9257,0.0,3.4779,3.7164,3.9315,4.1243,4.2962,4.4484,4.582,4.6985
2.7027,0.0,3.2512,3.491,3.7091,3.9068,4.0849,4.2445,4.3867,4.5126
2.5153,0.0,3.0227,3.2465,3.4516,3.6386,3.8086,3.9624,4.1007,4.2244
2.2013,0.0,2.7158,2.9463,3.1597,3.3567,3.5381,3.7044,3.8564,3.9946
2.3668,0.0,2.9711,3.234,3.4724,3.6876,3.8807,4.0532,4.2062,4.341
2.2673,0.0,2.8539,3.1109,3.3452,3.5579,3.7501,3.923,4.0776,4.2151
1.9879,0.0,2.5161,2.7526,2.9714,3.1735,3.3593,3.5297,3.6853,3.8269
2.0017,0.0,2.6075,2.8736,3.1167,3.3378,3.5382,3.7189,3.881,4.0257
2.4254,0.0,3.0458,3.3119,3.5507,3.7639,3.9529,4.1194,4.265,4.3912
2.571,0.0,3.222,3.4974,3.7418,3.9573,4.1457,4.309,4.4489,4.5675
2.2305,0.0,2.8731,3.151,3.402,3.6275,3.829,4.0078,4.1655,4.3034
2.5209,0.0,3.1691,3.4457,3.6928,3.9122,4.1055,4.2744,4.4207,4.5461
2.6384,0.0,3.2871,3.5634,3.8101,4.0288,4.2212,4.389,4.534,4.6579
2.3442,0.0,3.0167,3.3047,3.5628,3.7927,3.996,4.1744,4.3297,4.4635
2.2181,0.0,2.91,3.2067,3.4727,3.7099,3.9199,4.1044,4.2652,4.404
2.1502,0.0,2.8188,3.1072,3.3671,3.6,3.8074,3.991,4.1522,4.2926
2.0387,0.0,2.68,2.9588,3.2116,3.4397,3.6445,3.8272,3.9894,4.1322
2.2293,0.0,2.9336,3.2341,3.5025,3.7409,3.9509,4.1346,4.2936,4.43
2.4091,0.0,3.1142,3.4138,3.6807,3.9169,4.1242,4.3047,4.4601,4.5926
2.3953,0.0,3.0825,3.3737,3.6326,3.861,4.061,4.2344,4.3832,4.5093
2.3782,0.0,3.0336,3.3123,3.5607,3.7807,3.974,4.1423,4.2876,4.4115
2.3511,0.0,2.9567,3.2166,3.4499,3.6581,3.8428,4.0053,4.1474,4.2704
2.3466,0.0,2.9204,3.1672,3.3893,3.5879,3.7645,3.9205,4.0572,4.1761
2.269,0.0,2.8262,3.0675,3.2855,3.4815,3.6567,3.8125,3.9501,4.0708
2.2513,0.0,2.7594,2.98,3.1798,3.3599,3.5215,3.6656,3.7933,3.9059
2.2958,0.0,2.7491,2.9465,3.1257,3.2875,3.4331,3.5634,3.6794,3.7819
2.2887,0.0,2.7076,2.8886,3.0521,3.199,3.3301,3.4466,3.5493,3.6392
2.2999,0.0,2.7886,2.9991,3.1884,3.3579,3.5086,3.6418,3.7586,3.8603
2.2899,0.0,2.7316,2.9236,3.0974,3.2542,3.3949,3.5205,3.6318,3.7299
2.0845,0.0,2.5185,2.709,2.8828,3.0409,3.184,3.3129,3.4285,3.5316
1.978,0.0,2.3793,2.5572,2.7208,2.8707,3.0076,3.1321,3.2449,3.3466
1.9358,0.0,2.3206,2.4926,2.6516,2.7982,2.9329,3.0563,3.1689,3.2712
2.1474,0.0,2.5344,2.7057,2.8631,3.0073,3.1388,3.2584,3.3666,3.464
